building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,6659.53,1321.28,1341.40,1507.65,10829.86
F_350331_2902122,6659.53,1321.28,1341.40,1507.65,10829.86
F_350330_2902182,7258.45,1321.28,1341.40,1507.65,11428.78
F_350331_2902242,6883.85,1321.28,1341.40,1507.65,11054.17
F_350332_2902301,7869.65,1321.28,1341.40,1507.65,12039.98
F_350333_2902360,7227.58,1321.28,1341.40,1507.65,11397.90
F_350334_2902417,7227.58,1321.28,1341.40,1507.65,11397.90
F_350335_2902479,6680.45,1321.28,1341.40,1507.65,10850.77
F_350460_2902490,6449.51,1321.28,1341.40,1507.65,10619.84
F_350459_2902427,6449.51,1321.28,1341.40,1507.65,10619.84
F_350459_2902366,7997.11,1321.28,1341.40,1507.65,12167.44
F_350459_2902307,7254.33,1321.28,1341.40,1507.65,11424.66
F_350459_2902248,7051.34,1321.28,1341.40,1507.65,11221.67
F_350458_2902189,7377.76,1321.28,1341.40,1507.65,11548.08
F_350458_2902131,6449.51,1321.28,1341.40,1507.65,10619.84
F_350457_2902072,6904.58,1321.28,1341.40,1507.65,11074.90
F_353059_2906776,10518.07,1321.28,1341.40,1507.65,14688.39
F_353062_2906646,16304.89,2642.55,1341.40,3015.30,23304.14
F_353064_2906586,15665.19,2642.55,1341.40,3015.30,22664.44
F_353079_2906099,15997.11,2642.55,1341.40,3015.30,22996.36
F_353079_2906053,14921.65,2642.55,1341.40,3015.30,21920.90
F_353081_2906005,15954.25,2642.55,1341.40,3015.30,22953.50
F_353083_2905948,14672.90,2642.55,1341.40,3015.30,21672.15
F_353084_2905882,16223.91,2642.55,1341.40,3015.30,23223.16
F_353065_2906524,14534.09,2642.55,1341.40,3015.30,21533.34
F_353068_2906466,15925.60,2642.55,1341.40,3015.30,22924.85
F_353070_2906407,15141.66,2642.55,1341.40,3015.30,22140.91
F_353071_2906351,8581.59,1321.28,1341.40,1507.65,12751.92
F_353072_2906301,8243.69,1321.28,1341.40,1507.65,12414.01
F_353075_2906250,16875.21,2642.55,1341.40,3015.30,23874.46
F_353076_2906202,8243.69,1321.28,1341.40,1507.65,12414.01
F_353076_2906153,7468.37,1321.28,1341.40,1507.65,11638.70
F_352896_2905980,10075.02,1321.28,1341.40,1507.65,14245.34
F_352899_2905925,21045.06,3963.83,2682.80,4522.95,32214.64
F_352933_2905872,7150.79,1321.28,1341.40,1507.65,11321.11
F_352934_2905821,8324.31,1321.28,1341.40,1507.65,12494.63
F_352880_2906576,18434.29,2642.55,1341.40,3015.30,25433.54
F_352880_2906499,8128.56,1321.28,1341.40,1507.65,12298.88
F_352882_2906423,13749.41,2642.55,1341.40,3015.30,20748.66
F_352885_2906357,18028.76,2642.55,1341.40,3015.30,25028.01
F_352887_2906287,8692.77,2642.55,1341.40,3015.30,15692.02
F_352890_2906228,14976.99,2642.55,1341.40,3015.30,21976.24
F_352890_2906177,18899.13,3963.83,2682.80,4522.95,30068.71
F_352893_2906128,15603.74,2642.55,1341.40,3015.30,22602.99
F_352894_2906076,16371.81,2642.55,1341.40,3015.30,23371.06
F_352862_2906837,19954.31,2642.55,1341.40,3015.30,26953.56
F_352872_2906754,16493.71,2642.55,1341.40,3015.30,23492.96
F_352875_2906695,9523.51,1321.28,1341.40,1507.65,13693.83
F_352876_2906637,14219.49,2642.55,1341.40,3015.30,21218.74
